hossein,2,3,4,15,20,10,13,5,11,0
ali,6,3,17,16,10,7,18,0,5,15
mohsen,16,8,5,2,4,14,17,12,19,9
bahram,1,2,15,10,18,4,17,20,5,13
kazem,12,20,19,9,1,13,15,2,16,10
behrooz,4,11,3,18,10,1,2,7,16,6
amir,8,13,6,20,7,0,12,9,11,2
sina,8,2,6,15,11,5,12,13,0,17
hasan,10,15,20,14,7,9,16,5,8,13
mohammad,12,6,18,7,13,4,19,16,14,15
eskandar,10,15,5,6,2,7,14,18,0,1
reza,18,2,6,10,8,17,9,12,4,7
mahram,20,3,7,16,9,13,15,6,5,8
bahram,5,19,17,20,12,7,2,18,9,6
shahram,5,11,15,18,9,1,14,20,12,16
shadmehr,14,9,6,13,18,17,1,15,10,11
ebi,10,9,16,4,19,5,8,13,20,2
korosh,0,4,17,7,5,19,11,1,12,18
ehsan,6,2,4,11,14,15,9,0,16,20
ahmad,11,12,16,13,0,15,10,6,7,18
salar,16,19,0,4,11,12,3,15,13,17
sorena,10,17,5,18,7,14,4,3,13,16
avesta,9,12,17,18,16,15,2,0,14,20
ramin,3,12,15,11,2,17,9,20,7,6
alireza,9,1,20,13,4,10,19,8,0,16
mobin,2,18,4,20,17,7,10,12,16,0
saeid,13,2,17,5,3,10,12,20,6,14
moein,0,17,18,14,2,15,6,8,9,5
mehdi,6,3,17,8,7,10,4,13,11,16
sadegh,14,2,19,3,15,0,4,1,6,13
jalal,5,10,4,7,15,6,19,20,1,18
bohlol,14,19,18,5,6,0,13,15,17,11
masood,18,1,3,12,0,5,8,9,13,11
erfan,12,11,4,20,1,5,17,15,10,8
majid,20,9,19,16,15,2,14,12,13,10
omid,15,13,12,9,17,16,20,0,10,6
mehrdad,15,17,1,20,9,16,10,12,13,19
hesam,9,20,7,3,19,15,13,12,2,8
iliya,8,16,10,13,1,18,5,17,4,9
ashkan,0,2,6,19,7,16,1,14,5,3
bardiya,16,18,6,11,17,19,9,15,10,3
benjamin,3,10,18,9,6,4,16,13,5,7
babak,5,17,9,7,14,4,18,8,13,16
behnam,7,11,17,14,20,18,9,3,5,13
pooya,0,4,16,7,3,13,12,20,17,10
khosro,12,8,2,6,17,20,4,14,11,7
daryoosh,16,3,12,5,1,9,10,6,8,14
sirvan,13,2,5,14,4,0,15,3,17,11
sadra,17,2,9,18,4,13,3,7,5,8
sobhan,12,8,0,11,18,10,20,7,5,15
shahab,6,5,7,2,8,1,3,20,0,11
zahra,17,18,16,8,3,12,14,5,20,7
fatemeh,20,14,12,3,11,15,7,1,0,8
reyhaneh,3,14,12,19,0,6,11,8,10,2
homa,10,0,15,17,16,18,4,8,2,12
sara,17,8,3,13,2,6,11,7,12,19
mona,2,7,9,15,4,3,18,12,13,1
azita,15,1,2,4,11,12,3,16,20,10
nazanin,4,8,17,12,1,19,9,13,16,15
niloofar,12,18,15,6,13,14,3,16,10,2
nastaran,10,17,2,1,12,20,16,9,5,18
helen,0,5,18,12,16,19,15,17,13,14
asal,1,12,9,15,6,20,18,3,5,17
ava,4,18,3,14,19,11,9,2,8,16
ghazal,6,2,0,14,18,15,19,5,20,7
hana,12,16,10,1,5,7,13,8,18,19
mersana,19,18,1,0,14,8,10,9,15,13
aseman,14,16,19,10,12,7,15,2,18,20
darya,14,19,15,3,17,4,9,8,11,10
donya,6,14,5,0,2,19,9,7,1,15
baran,7,2,0,15,11,8,17,19,12,1
ayda,14,2,5,15,13,17,1,10,18,11
maedeh,3,1,7,14,8,19,5,10,4,12
negar,6,11,20,0,5,15,12,13,10,14
negin,4,20,1,13,11,9,7,15,17,12
samira,17,18,15,4,6,13,10,12,1,2
elnaz,6,12,11,17,16,19,3,4,15,2
elham,12,5,7,14,13,1,9,10,11,2
narges,13,14,18,17,16,4,6,9,1,0
ameneh,14,7,15,17,3,1,20,19,5,9
zeynab,8,1,20,19,0,14,10,11,12,3
nasrin,5,4,20,9,7,10,1,17,15,6
mahnaz,7,11,10,18,20,9,5,6,3,2
bahar,3,2,18,10,12,4,15,13,20,0
niki,13,11,12,1,2,5,6,3,4,9
sadaf,6,19,9,3,13,11,5,15,14,10
nahid,1,20,2,13,4,12,16,3,17,6
akram,6,9,14,2,20,1,8,18,10,3
james,5,6,9,2,8,15,3,10,20,13
ben,9,1,20,15,2,14,18,11,17,12
kevin,14,12,2,3,10,5,4,11,15,16
marco,16,19,17,13,11,12,0,15,7,2
selena,15,2,4,14,10,5,17,6,16,8
antony,19,8,5,14,18,3,4,16,17,7
taylor,15,20,19,14,7,3,1,17,10,12
alan,12,11,13,20,0,10,9,7,17,1
maria,2,18,6,3,11,5,16,9,8,10
roze,14,7,19,3,13,10,18,6,20,16
harry,12,2,13,15,0,17,20,5,4,16
nicolas,10,6,17,16,11,2,14,4,3,15
